lg_code,pref,pref_kana,pref_roma,county,county_kana,county_roma,city,city_kana,city_roma,ward,ward_kana,ward_roma,efct_date,ablt_date,remarks
362018,徳島県,トクシマケン,Tokushima,,,,徳島市,トクシマシ,Tokushima-shi,,,,1947-04-17,,
362026,徳島県,トクシマケン,Tokushima,,,,鳴門市,ナルトシ,Naruto-shi,,,,1947-04-17,,
362034,徳島県,トクシマケン,Tokushima,,,,小松島市,コマツシマシ,Komatsushima-shi,,,,1947-04-17,,
362042,徳島県,トクシマケン,Tokushima,,,,阿南市,アナンシ,Anan-shi,,,,1947-04-17,,
362051,徳島県,トクシマケン,Tokushima,,,,吉野川市,ヨシノガワシ,Yoshinogawa-shi,,,,1947-04-17,,
362069,徳島県,トクシマケン,Tokushima,,,,阿波市,アワシ,Awa-shi,,,,1947-04-17,,
362077,徳島県,トクシマケン,Tokushima,,,,美馬市,ミマシ,Mima-shi,,,,1947-04-17,,
362085,徳島県,トクシマケン,Tokushima,,,,三好市,ミヨシシ,Miyoshi-shi,,,,1947-04-17,,
363014,徳島県,トクシマケン,Tokushima,勝浦郡,カツウラグン,Katsura-gun,勝浦町,カツウラチョウ,Katsura-cho,,,,1947-04-17,,
363022,徳島県,トクシマケン,Tokushima,勝浦郡,カツウラグン,Katsura-gun,上勝町,カミカツチョウ,Kamikatsu-cho,,,,1947-04-17,,
363219,徳島県,トクシマケン,Tokushima,名東郡,ミョウドウグン,Myodo-gun,佐那河内村,サナゴウチソン,Sanagochi-son,,,,1947-04-17,,
363413,徳島県,トクシマケン,Tokushima,名西郡,ミョウザイグン,Myozai-gun,石井町,イシイチョウ,Ishii-cho,,,,1947-04-17,,
363421,徳島県,トクシマケン,Tokushima,名西郡,ミョウザイグン,Myozai-gun,神山町,カミヤマチョウ,Kamiyama-cho,,,,1947-04-17,,
363685,徳島県,トクシマケン,Tokushima,那賀郡,ナカグン,Naka-gun,那賀町,ナカチョウ,Naka-cho,,,,1947-04-17,,
363839,徳島県,トクシマケン,Tokushima,海部郡,カイフグン,Kaifu-gun,牟岐町,ムギチョウ,Mugi-cho,,,,1947-04-17,,
363871,徳島県,トクシマケン,Tokushima,海部郡,カイフグン,Kaifu-gun,美波町,ミナミチョウ,Minami-cho,,,,1947-04-17,,
363880,徳島県,トクシマケン,Tokushima,海部郡,カイフグン,Kaifu-gun,海陽町,カイヨウチョウ,Kaiyo-cho,,,,1947-04-17,,
364011,徳島県,トクシマケン,Tokushima,板野郡,イタノグン,Itano-gun,松茂町,マツシゲチョウ,Matsushige-cho,,,,1947-04-17,,
364029,徳島県,トクシマケン,Tokushima,板野郡,イタノグン,Itano-gun,北島町,キタジマチョウ,Kitajima-cho,,,,1947-04-17,,
364037,徳島県,トクシマケン,Tokushima,板野郡,イタノグン,Itano-gun,藍住町,アイズミチョウ,Aizumi-cho,,,,1947-04-17,,
364045,徳島県,トクシマケン,Tokushima,板野郡,イタノグン,Itano-gun,板野町,イタノチョウ,Itano-cho,,,,1947-04-17,,
364053,徳島県,トクシマケン,Tokushima,板野郡,イタノグン,Itano-gun,上板町,カミイタチョウ,Kamiita-cho,,,,1947-04-17,,
364681,徳島県,トクシマケン,Tokushima,美馬郡,ミマグン,Mima-gun,つるぎ町,ツルギチョウ,Tsurugi-cho,,,,1947-04-17,,
364894,徳島県,トクシマケン,Tokushima,三好郡,ミヨシグン,Miyoshi-gun,東みよし町,ヒガシミヨシチョウ,Higashimiyoshi-cho,,,,1947-04-17,,
